MachineID,Vibration_Hz,Temperature_C,Pressure_PSI,Acoustic_Noise_dB,Rotation_RPM,Power_Consumption_kW
M-SENS-4433,46.64,65.6,101.5,53.8,1707,14.69
M-SENS-4434,43.39,68.1,97.0,52.7,1683,13.8
M-SENS-4435,51.41,67.1,106.9,56.6,1700,13.94
M-SENS-4436,45.27,70.3,96.0,57.7,1790,15.66
M-SENS-4437,46.57,67.8,113.4,53.1,1680,12.7
M-SENS-4438,50.49,57.5,100.1,56.3,1758,14.54
M-SENS-4439,48.78,70.1,97.2,53.0,1715,14.86
M-SENS-4440,51.15,66.8,107.9,51.5,1825,15.42
M-SENS-4441,13.63,22.2,50.8,94.7,2596,3.52
M-SENS-4442,49.3,62.2,103.8,51.3,1705,14.01
M-SENS-4443,48.28,63.8,104.2,56.2,1818,14.12
M-SENS-4444,52.18,68.7,113.5,54.6,1731,15.21
M-SENS-4445,49.35,70.1,105.6,48.7,1766,14.45
M-SENS-4446,91.78,27.9,48.2,105.3,2607,6.03
M-SENS-4447,50.28,60.4,108.1,60.2,1802,13.2
M-SENS-4448,41.1,67.8,98.2,55.9,1819,13.67
M-SENS-4449,46.68,66.1,95.5,52.7,1751,13.96
M-SENS-4450,50.13,76.1,102.5,52.5,1813,12.93
M-SENS-4451,43.14,62.6,100.6,53.1,1748,14.42
M-SENS-4452,51.74,65.4,99.2,58.0,1713,12.89
M-SENS-4453,52.22,69.6,98.0,53.8,1708,14.46
M-SENS-4454,54.06,67.8,107.2,57.5,1749,15.07
M-SENS-4455,50.61,70.8,99.7,49.8,1797,14.48
M-SENS-4456,46.96,64.0,114.8,53.1,1711,14.27
M-SENS-4457,52.13,74.1,105.3,51.2,1838,14.18
M-SENS-4458,45.07,60.7,106.2,55.7,1765,15.23
M-SENS-4459,45.19,70.5,99.4,61.5,1776,13.46
M-SENS-4460,40.91,68.2,100.1,54.5,1784,15.01
M-SENS-4461,52.28,60.3,109.1,53.3,1648,13.26
M-SENS-4462,48.76,61.1,101.6,56.0,1741,13.8
M-SENS-4463,43.62,65.1,91.7,52.9,1708,14.01
M-SENS-4464,11.22,29.2,174.2,97.4,2638,23.97
M-SENS-4465,44.51,65.3,100.0,57.2,1771,13.46
M-SENS-4466,48.38,63.3,97.0,57.1,1744,13.87
M-SENS-4467,45.01,60.9,111.9,56.0,1700,14.43
M-SENS-4468,51.72,65.7,108.9,50.4,1660,14.41
M-SENS-4469,12.54,27.2,40.8,93.3,574,4.3
M-SENS-4470,49.53,54.9,105.4,55.4,1739,15.84
M-SENS-4471,121.44,33.1,38.4,95.5,514,22.71
M-SENS-4472,53.66,64.0,100.7,50.9,1721,13.55
M-SENS-4473,45.32,65.0,89.8,50.5,1745,14.3
M-SENS-4474,47.18,64.8,100.0,54.9,1769,14.54
M-SENS-4475,120.45,99.5,173.1,90.5,732,27.01
M-SENS-4476,39.68,63.6,101.0,55.6,1717,14.21
M-SENS-4477,48.44,62.1,107.1,55.5,1774,14.26
M-SENS-4478,6.47,119.1,174.1,102.7,770,3.51
M-SENS-4479,50.75,69.5,107.5,57.8,1738,13.8
M-SENS-4480,44.63,67.0,101.2,53.7,1728,15.36
M-SENS-4481,51.33,72.3,104.6,55.2,1748,13.38
M-SENS-4482,43.59,67.0,97.3,55.6,1800,13.67
M-SENS-4483,55.04,61.0,107.0,56.3,1803,13.31
M-SENS-4484,56.07,64.3,105.4,59.3,1722,14.86
M-SENS-4485,45.3,70.6,98.2,55.1,1763,14.83
M-SENS-4486,54.89,63.2,107.7,60.9,1757,13.76
M-SENS-4487,41.94,72.5,100.8,52.0,1688,13.4
M-SENS-4488,15.51,103.8,156.0,101.6,2542,32.76
M-SENS-4489,49.16,70.8,106.4,51.8,1811,14.45
M-SENS-4490,50.4,70.9,96.4,54.9,1726,12.95
M-SENS-4491,49.21,75.0,92.8,54.9,1778,14.3
M-SENS-4492,47.6,59.8,103.2,52.7,1651,15.16
M-SENS-4493,51.35,65.2,103.1,58.2,1760,14.92
M-SENS-4494,46.96,70.2,103.6,55.6,1692,14.43
M-SENS-4495,45.09,62.4,97.9,51.8,1845,15.27
M-SENS-4496,54.72,60.1,102.4,51.1,1718,13.47
M-SENS-4497,52.34,63.4,107.3,56.8,1853,13.02
M-SENS-4498,114.84,92.6,56.4,94.6,2234,24.87
M-SENS-4499,94.43,31.4,50.4,91.3,2785,27.02
M-SENS-4500,50.66,69.2,101.5,56.3,1767,13.54
M-SENS-4501,49.86,71.5,102.1,50.6,1719,12.78
M-SENS-4502,52.52,68.1,99.5,50.7,1712,13.69
M-SENS-4503,48.38,65.3,108.7,52.9,1682,13.27
M-SENS-4504,47.92,62.1,100.5,53.6,1794,13.73
M-SENS-4505,46.68,67.9,99.2,56.3,1764,14.31
M-SENS-4506,44.03,69.9,113.1,55.0,1702,14.22
M-SENS-4507,51.46,62.5,101.4,56.0,1804,14.82
M-SENS-4508,50.86,63.3,104.0,52.8,1788,15.12
M-SENS-4509,49.94,63.5,101.0,60.4,1734,15.04
M-SENS-4510,49.19,63.7,95.3,55.6,1754,15.65
M-SENS-4511,44.99,74.2,103.9,56.1,1723,14.45
M-SENS-4512,49.66,68.7,97.1,59.2,1766,14.69
M-SENS-4513,47.23,61.3,102.4,55.6,1687,14.83
M-SENS-4514,51.49,62.1,96.9,54.1,1751,13.99
M-SENS-4515,47.79,65.9,95.2,51.2,1627,14.95
M-SENS-4516,48.05,69.2,96.3,55.1,1759,13.75
M-SENS-4517,42.56,72.0,109.0,53.9,1772,13.81
M-SENS-4518,114.19,20.7,39.6,94.3,655,3.22
M-SENS-4519,51.96,64.7,102.6,52.2,1668,14.29
M-SENS-4520,49.93,67.8,105.0,56.1,1708,14.81
M-SENS-4521,44.38,69.4,101.6,54.8,1788,15.0
M-SENS-4522,16.24,124.8,178.8,96.8,2681,30.92
M-SENS-4523,48.97,64.9,103.6,55.0,1713,14.86
M-SENS-4524,48.79,65.1,97.1,58.9,1779,13.76
M-SENS-4525,51.51,63.0,98.1,52.7,1670,14.58
M-SENS-4526,41.59,60.1,91.6,54.7,1743,13.94
M-SENS-4527,44.35,60.3,104.3,53.3,1764,13.49
M-SENS-4528,48.63,70.2,104.9,53.8,1761,14.01
M-SENS-4529,48.03,63.7,101.2,55.6,1705,13.39
M-SENS-4530,43.14,58.6,95.9,55.5,1709,14.61
M-SENS-4531,12.55,113.6,46.4,108.8,2332,6.82
M-SENS-4532,16.02,97.9,45.1,88.3,728,28.22
M-SENS-4533,46.67,63.7,103.4,57.6,1693,13.31
M-SENS-4534,43.09,70.3,103.5,51.7,1730,15.15
M-SENS-4535,47.03,63.7,98.1,51.9,1803,15.54
M-SENS-4536,44.55,70.6,99.6,56.6,1813,14.08
M-SENS-4537,46.85,68.2,96.5,58.4,1756,13.74
M-SENS-4538,45.89,59.5,99.3,54.2,1702,14.16
M-SENS-4539,49.66,64.1,105.3,52.6,1795,14.3
M-SENS-4540,13.02,116.1,159.8,88.4,801,29.77
M-SENS-4541,47.97,57.0,104.0,54.1,1748,13.5
M-SENS-4542,44.17,68.5,107.5,56.3,1668,14.59
M-SENS-4543,41.71,62.4,106.3,57.0,1770,15.25
M-SENS-4544,49.96,56.9,100.2,54.9,1742,13.71
M-SENS-4545,44.39,74.6,100.1,62.1,1698,14.73
M-SENS-4546,48.8,61.3,99.7,55.0,1712,14.0
M-SENS-4547,39.72,67.8,108.1,56.4,1851,14.75
M-SENS-4548,52.0,70.0,88.2,56.3,1687,13.26
M-SENS-4549,44.48,63.7,105.3,56.3,1749,14.78
M-SENS-4550,50.74,66.8,93.4,52.8,1751,14.79
M-SENS-4551,43.35,65.0,94.2,58.1,1760,13.12
M-SENS-4552,43.27,66.5,108.9,51.7,1785,13.77
M-SENS-4553,50.88,67.7,102.8,49.5,1780,14.6
M-SENS-4554,49.44,65.8,97.6,58.2,1790,13.34
M-SENS-4555,52.6,65.5,102.6,54.5,1746,15.3
M-SENS-4556,51.62,69.0,102.9,57.7,1712,14.67
M-SENS-4557,47.46,56.8,94.1,53.0,1768,13.67
M-SENS-4558,45.93,68.1,99.2,59.0,1802,14.22
M-SENS-4559,50.64,67.5,100.8,57.6,1795,13.44
M-SENS-4560,48.54,65.6,106.2,53.7,1723,14.34
M-SENS-4561,52.13,60.2,96.9,53.4,1734,12.79
M-SENS-4562,53.24,64.5,100.6,59.9,1782,13.77
M-SENS-4563,48.58,64.8,109.2,54.5,1685,12.7
M-SENS-4564,53.16,61.8,105.4,55.2,1731,13.99
M-SENS-4565,53.54,59.2,100.1,57.7,1692,15.25
M-SENS-4566,51.12,66.1,99.5,50.8,1781,16.4
M-SENS-4567,48.51,57.7,104.3,57.6,1708,13.68
M-SENS-4568,45.38,62.9,101.1,52.4,1694,14.34
M-SENS-4569,47.36,63.3,102.4,50.4,1761,13.87
M-SENS-4570,48.84,66.6,107.7,55.3,1798,13.94
M-SENS-4571,47.04,64.6,105.9,56.9,1756,13.22
M-SENS-4572,50.15,61.6,97.4,51.6,1746,15.17
M-SENS-4573,44.62,71.7,106.5,50.6,1732,13.37
M-SENS-4574,50.33,61.0,93.9,54.0,1802,14.05
M-SENS-4575,49.39,66.7,94.4,52.3,1750,13.75
M-SENS-4576,53.97,60.1,97.5,55.9,1721,11.89
M-SENS-4577,54.77,60.7,104.8,51.2,1711,12.9
M-SENS-4578,45.41,62.4,101.3,53.9,1685,13.78
M-SENS-4579,53.06,70.3,104.3,57.0,1842,14.66
M-SENS-4580,50.25,58.7,96.4,54.9,1713,13.4
M-SENS-4581,8.46,22.5,58.6,102.5,2730,6.18
M-SENS-4582,45.43,71.6,100.8,55.0,1798,15.22
M-SENS-4583,47.61,63.4,101.7,56.0,1790,14.2
M-SENS-4584,50.17,71.6,103.9,55.9,1681,12.1
M-SENS-4585,49.36,64.6,99.4,55.7,1747,15.1
M-SENS-4586,48.3,62.0,107.0,54.3,1773,13.82
M-SENS-4587,45.73,65.3,102.1,56.4,1737,12.73
M-SENS-4588,46.49,68.2,100.5,54.3,1794,13.63
M-SENS-4589,42.6,64.4,99.6,52.1,1742,14.59
M-SENS-4590,47.97,66.2,111.1,54.0,1762,13.79
M-SENS-4591,45.04,62.7,99.6,56.1,1855,13.63
M-SENS-4592,46.54,64.7,104.0,55.8,1807,12.26
M-SENS-4593,39.65,63.0,107.5,50.3,1614,14.66
M-SENS-4594,48.85,60.6,97.1,52.1,1754,13.7
M-SENS-4595,49.73,53.6,97.7,51.6,1738,13.77
M-SENS-4596,50.79,57.6,102.2,56.7,1833,13.81
M-SENS-4597,49.14,57.8,90.0,57.5,1749,15.14
M-SENS-4598,43.19,67.1,111.3,56.3,1762,14.21
M-SENS-4599,42.5,70.4,98.9,56.5,1679,13.26
